Date,Year,Month,Quarter,Week,Day
01-01-2024,2024,January,Q1,1,Monday
02-01-2024,2024,January,Q1,1,Tuesday
03-01-2024,2024,January,Q1,1,Wednesday
04-01-2024,2024,January,Q1,1,Thursday
05-01-2024,2024,January,Q1,1,Friday
06-01-2024,2024,January,Q1,1,Saturday
07-01-2024,2024,January,Q1,1,Sunday
08-01-2024,2024,January,Q1,2,Monday
09-01-2024,2024,January,Q1,2,Tuesday
10-01-2024,2024,January,Q1,2,Wednesday
11-01-2024,2024,January,Q1,2,Thursday
12-01-2024,2024,January,Q1,2,Friday
13-01-2024,2024,January,Q1,2,Saturday
14-01-2024,2024,January,Q1,2,Sunday
15-01-2024,2024,January,Q1,3,Monday
16-01-2024,2024,January,Q1,3,Tuesday
17-01-2024,2024,January,Q1,3,Wednesday
18-01-2024,2024,January,Q1,3,Thursday
19-01-2024,2024,January,Q1,3,Friday
20-01-2024,2024,January,Q1,3,Saturday
21-01-2024,2024,January,Q1,3,Sunday
22-01-2024,2024,January,Q1,4,Monday
23-01-2024,2024,January,Q1,4,Tuesday
24-01-2024,2024,January,Q1,4,Wednesday
25-01-2024,2024,January,Q1,4,Thursday
26-01-2024,2024,January,Q1,4,Friday
27-01-2024,2024,January,Q1,4,Saturday
28-01-2024,2024,January,Q1,4,Sunday
29-01-2024,2024,January,Q1,5,Monday
30-01-2024,2024,January,Q1,5,Tuesday
31-01-2024,2024,January,Q1,5,Wednesday
01-02-2024,2024,February,Q1,5,Thursday
02-02-2024,2024,February,Q1,5,Friday
03-02-2024,2024,February,Q1,5,Saturday
04-02-2024,2024,February,Q1,5,Sunday
05-02-2024,2024,February,Q1,6,Monday
06-02-2024,2024,February,Q1,6,Tuesday
07-02-2024,2024,February,Q1,6,Wednesday
08-02-2024,2024,February,Q1,6,Thursday
09-02-2024,2024,February,Q1,6,Friday
10-02-2024,2024,February,Q1,6,Saturday
11-02-2024,2024,February,Q1,6,Sunday
12-02-2024,2024,February,Q1,7,Monday
13-02-2024,2024,February,Q1,7,Tuesday
14-02-2024,2024,February,Q1,7,Wednesday
