Store_Id,Channel_Id,Retailer,Distributor_Name,Region,Country,State,City,Tier
S001,CH002,Reliance Fresh,,North,India,Delhi,Delhi,Tier 1
S002,CH002,Reliance Fresh,,North,India,Delhi,Delhi,Tier 1
S003,CH002,D Mart,,North,India,Delhi,Delhi,Tier 1
S004,CH002,D Mart,,North,India,Delhi,Delhi,Tier 1
S005,CH002,Vishal Mega Mart,,North,India,Delhi,Delhi,Tier 1
S006,CH002,Vishal Mega Mart,,North,India,Delhi,Delhi,Tier 1
S007,CH002,More Retail,,North,India,Delhi,Delhi,Tier 1
S008,CH002,More Retail,,North,India,Delhi,Delhi,Tier 1
S009,CH002,Heritage Fresh,,North,India,Delhi,Delhi,Tier 1
S010,CH002,Heritage Fresh,,North,India,Delhi,Delhi,Tier 1
S011,CH002,Reliance Fresh,,West,India,Maharashtra,Mumbai,Tier 1
S012,CH002,Reliance Fresh,,West,India,Maharashtra,Mumbai,Tier 1
S013,CH002,D Mart,,West,India,Maharashtra,Mumbai,Tier 1
S014,CH002,D Mart,,West,India,Maharashtra,Mumbai,Tier 1
S015,CH002,Vishal Mega Mart,,West,India,Maharashtra,Mumbai,Tier 1
S016,CH002,Vishal Mega Mart,,West,India,Maharashtra,Mumbai,Tier 1
S017,CH002,More Retail,,West,India,Maharashtra,Mumbai,Tier 1
S018,CH002,More Retail,,West,India,Maharashtra,Mumbai,Tier 1
S019,CH002,Heritage Fresh,,West,India,Maharashtra,Mumbai,Tier 1
S020,CH002,Heritage Fresh,,West,India,Maharashtra,Mumbai,Tier 1
S021,CH002,Reliance Fresh,,South,India,Karnataka,Bengaluru,Tier 1
S022,CH002,Reliance Fresh,,South,India,Karnataka,Bengaluru,Tier 1
S023,CH002,D Mart,,South,India,Karnataka,Bengaluru,Tier 1
S024,CH002,D Mart,,South,India,Karnataka,Bengaluru,Tier 1
S025,CH002,Vishal Mega Mart,,South,India,Karnataka,Bengaluru,Tier 1
S026,CH002,Vishal Mega Mart,,South,India,Karnataka,Bengaluru,Tier 1
S027,CH002,More Retail,,South,India,Karnataka,Bengaluru,Tier 1
S028,CH002,More Retail,,South,India,Karnataka,Bengaluru,Tier 1
S029,CH002,Heritage Fresh,,South,India,Karnataka,Bengaluru,Tier 1
S030,CH002,Heritage Fresh,,South,India,Karnataka,Bengaluru,Tier 1
S031,CH002,Reliance Fresh,,South,India,Tamil Nadu,Chennai,Tier 1
S032,CH002,Reliance Fresh,,South,India,Tamil Nadu,Chennai,Tier 1
S033,CH002,D Mart,,South,India,Tamil Nadu,Chennai,Tier 1
S034,CH002,D Mart,,South,India,Tamil Nadu,Chennai,Tier 1
S035,CH002,Vishal Mega Mart,,South,India,Tamil Nadu,Chennai,Tier 1
S036,CH002,Vishal Mega Mart,,South,India,Tamil Nadu,Chennai,Tier 1
S037,CH002,More Retail,,South,India,Tamil Nadu,Chennai,Tier 1
S038,CH002,More Retail,,South,India,Tamil Nadu,Chennai,Tier 1
S039,CH002,Heritage Fresh,,South,India,Tamil Nadu,Chennai,Tier 1
S040,CH002,Heritage Fresh,,South,India,Tamil Nadu,Chennai,Tier 1
S041,CH002,Reliance Fresh,,South,India,Telangana,Hyderabad,Tier 1
S042,CH002,Reliance Fresh,,South,India,Telangana,Hyderabad,Tier 1
S043,CH002,D Mart,,South,India,Telangana,Hyderabad,Tier 1
S044,CH002,D Mart,,South,India,Telangana,Hyderabad,Tier 1
S045,CH002,Vishal Mega Mart,,South,India,Telangana,Hyderabad,Tier 1
S046,CH002,Vishal Mega Mart,,South,India,Telangana,Hyderabad,Tier 1
S047,CH002,More Retail,,South,India,Telangana,Hyderabad,Tier 1
S048,CH002,More Retail,,South,India,Telangana,Hyderabad,Tier 1
S049,CH002,Heritage Fresh,,South,India,Telangana,Hyderabad,Tier 1
S050,CH002,Heritage Fresh,,South,India,Telangana,Hyderabad,Tier 1
S051,CH002,Reliance Fresh,,North,India,Chandigarh,Chandigarh,Tier 2
S052,CH002,Reliance Fresh,,North,India,Chandigarh,Chandigarh,Tier 2
S053,CH002,D Mart,,North,India,Chandigarh,Chandigarh,Tier 2
S054,CH002,D Mart,,North,India,Chandigarh,Chandigarh,Tier 2
S055,CH002,Vishal Mega Mart,,North,India,Chandigarh,Chandigarh,Tier 2
S056,CH002,Vishal Mega Mart,,North,India,Chandigarh,Chandigarh,Tier 2
S057,CH002,More Retail,,North,India,Chandigarh,Chandigarh,Tier 2
S058,CH002,More Retail,,North,India,Chandigarh,Chandigarh,Tier 2
S059,CH002,Heritage Fresh,,North,India,Chandigarh,Chandigarh,Tier 2
S060,CH002,Heritage Fresh,,North,India,Chandigarh,Chandigarh,Tier 2
S061,CH002,Reliance Fresh,,Central,India,Madhya Pradesh,Indore,Tier 2
S062,CH002,Reliance Fresh,,Central,India,Madhya Pradesh,Indore,Tier 2
S063,CH002,D Mart,,Central,India,Madhya Pradesh,Indore,Tier 2
S064,CH002,D Mart,,Central,India,Madhya Pradesh,Indore,Tier 2
S065,CH002,Vishal Mega Mart,,Central,India,Madhya Pradesh,Indore,Tier 2
S066,CH002,Vishal Mega Mart,,Central,India,Madhya Pradesh,Indore,Tier 2
S067,CH002,More Retail,,Central,India,Madhya Pradesh,Indore,Tier 2
S068,CH002,More Retail,,Central,India,Madhya Pradesh,Indore,Tier 2
S069,CH002,Heritage Fresh,,Central,India,Madhya Pradesh,Indore,Tier 2
S070,CH002,Heritage Fresh,,Central,India,Madhya Pradesh,Indore,Tier 2
S071,CH002,Reliance Fresh,,West,India,Rajasthan,Udaipur,Tier 2
S072,CH002,Reliance Fresh,,West,India,Rajasthan,Udaipur,Tier 2
S073,CH002,D Mart,,West,India,Rajasthan,Udaipur,Tier 2
S074,CH002,D Mart,,West,India,Rajasthan,Udaipur,Tier 2
S075,CH002,Vishal Mega Mart,,West,India,Rajasthan,Udaipur,Tier 2
S076,CH002,Vishal Mega Mart,,West,India,Rajasthan,Udaipur,Tier 2
S077,CH002,More Retail,,West,India,Rajasthan,Udaipur,Tier 2
S078,CH002,More Retail,,West,India,Rajasthan,Udaipur,Tier 2
S079,CH002,Heritage Fresh,,West,India,Rajasthan,Udaipur,Tier 2
S080,CH002,Heritage Fresh,,West,India,Rajasthan,Udaipur,Tier 2
S081,CH002,Reliance Fresh,,North,India,Punjab,Amritsar,Tier 2
S082,CH002,Reliance Fresh,,North,India,Punjab,Amritsar,Tier 2
S083,CH002,D Mart,,North,India,Punjab,Amritsar,Tier 2
S084,CH002,D Mart,,North,India,Punjab,Amritsar,Tier 2
S085,CH002,Vishal Mega Mart,,North,India,Punjab,Amritsar,Tier 2
S086,CH002,Vishal Mega Mart,,North,India,Punjab,Amritsar,Tier 2
S087,CH002,More Retail,,North,India,Punjab,Amritsar,Tier 2
S088,CH002,More Retail,,North,India,Punjab,Amritsar,Tier 2
S089,CH002,Heritage Fresh,,North,India,Punjab,Amritsar,Tier 2
S090,CH002,Heritage Fresh,,North,India,Punjab,Amritsar,Tier 2
S091,CH002,Reliance Fresh,,West,India,Maharashtra,Nagpur,Tier 2
S092,CH002,Reliance Fresh,,West,India,Maharashtra,Nagpur,Tier 2
S093,CH002,D Mart,,West,India,Maharashtra,Nagpur,Tier 2
S094,CH002,D Mart,,West,India,Maharashtra,Nagpur,Tier 2
S095,CH002,Vishal Mega Mart,,West,India,Maharashtra,Nagpur,Tier 2
S096,CH002,Vishal Mega Mart,,West,India,Maharashtra,Nagpur,Tier 2
S097,CH002,More Retail,,West,India,Maharashtra,Nagpur,Tier 2
S098,CH002,More Retail,,West,India,Maharashtra,Nagpur,Tier 2
S099,CH002,Heritage Fresh,,West,India,Maharashtra,Nagpur,Tier 2
S100,CH002,Heritage Fresh,,West,India,Maharashtra,Nagpur,Tier 2
S101,CH002,Reliance Fresh,,South,India,Karnataka,Mysuru,Tier 2
S102,CH002,Reliance Fresh,,South,India,Karnataka,Mysuru,Tier 2
S103,CH002,D Mart,,South,India,Karnataka,Mysuru,Tier 2
S104,CH002,D Mart,,South,India,Karnataka,Mysuru,Tier 2
S105,CH002,Vishal Mega Mart,,South,India,Karnataka,Mysuru,Tier 2
S106,CH002,Vishal Mega Mart,,South,India,Karnataka,Mysuru,Tier 2
S107,CH002,More Retail,,South,India,Karnataka,Mysuru,Tier 2
S108,CH002,More Retail,,South,India,Karnataka,Mysuru,Tier 2
S109,CH002,Heritage Fresh,,South,India,Karnataka,Mysuru,Tier 2
S110,CH002,Heritage Fresh,,South,India,Karnataka,Mysuru,Tier 2
S111,CH002,Reliance Fresh,,South,India,Tamil Nadu,Coimbatore,Tier 2
S112,CH002,Reliance Fresh,,South,India,Tamil Nadu,Coimbatore,Tier 2
S113,CH002,D Mart,,South,India,Tamil Nadu,Coimbatore,Tier 2
S114,CH002,D Mart,,South,India,Tamil Nadu,Coimbatore,Tier 2
S115,CH002,Vishal Mega Mart,,South,India,Tamil Nadu,Coimbatore,Tier 2
S116,CH002,Vishal Mega Mart,,South,India,Tamil Nadu,Coimbatore,Tier 2
S117,CH002,More Retail,,South,India,Tamil Nadu,Coimbatore,Tier 2
S118,CH002,More Retail,,South,India,Tamil Nadu,Coimbatore,Tier 2
S119,CH002,Heritage Fresh,,South,India,Tamil Nadu,Coimbatore,Tier 2
S120,CH002,Heritage Fresh,,South,India,Tamil Nadu,Coimbatore,Tier 2
